starting up
Loading symbols from cprofreal1.elf ... OK
Seen 2254 symbols, stored 1826 function offsets
	address	calls	ms	ms/call	ms/frame	lowest stack	highest stack	function name
	0x204152c	 28672	  347.9008	0.012	0.580	0	0	_Z9ActNpc233P6NPCHAR
	0x203c47c	    16	    0.0000	0.000	0.000	0	0	_Z6GetCosh
	0x203c440	    16	    0.0000	0.000	0.000	0	0	_Z6GetSinh
	0x205f2a0	  1792	   21.4377	0.012	0.036	0	0	_Z9ActNpc029P6NPCHAR
	0x20333c8	 30464	  148.4097	0.005	0.247	0	0	_Z9ActNpc308P6NPCHAR
	0x203285c	  1792	    4.8346	0.003	0.008	0	0	_Z9ActNpc302P6NPCHAR
	0x2051098	 19712	   68.7023	0.003	0.115	0	0	_Z17JudgeHitMyCharNPCP6NPCHAR
	0x2051720	 64512	  782.3155	0.012	1.304	0	0	_Z18JudgeHitMyCharNPC4P6NPCHAR
	0x204e014	  3351	    6.8066	0.002	0.011	0	0	_Z23JudgeHitNpCharTriangleGP6NPCHARii
	0x204df44	  3584	   10.8142	0.003	0.018	0	0	_Z23JudgeHitNpCharTriangleFP6NPCHARii
	0x204e1c0	 59134	  104.5802	0.002	0.174	0	0	_Z19JudgeHitNpCharWaterP6NPCHARii
	0x204e0e8	    54	    0.0636	0.001	0.000	0	0	_Z23JudgeHitNpCharTriangleHP6NPCHARii
	0x201c1c4	  1960	   17.6209	0.009	0.029	0	0	_Z10ActCaret07P5CARET
	0x2051490	    41	    0.1272	0.003	0.000	0	0	_Z23JudgeHitMyCharTriangleFii
	0x20513b0	    18	    0.1908	0.011	0.000	0	0	_Z23JudgeHitMyCharTriangleEii
	0x20519e4	     3	    0.0000	0.000	0.000	0	0	_Z13PutlittleStarv
	0x2051640	    12	    0.0636	0.005	0.000	0	0	_Z23JudgeHitMyCharTriangleHii
	0x2051568	   382	    0.8906	0.002	0.001	0	0	_Z23JudgeHitMyCharTriangleGii
	0x20487e8	 50977	  597.5191	0.012	0.996	0	0	_Z9ActNpc073P6NPCHAR
	0x205ecd0	    15	    0.0000	0.000	0.000	0	0	_Z12DamageMyChari
	0x2038eb4	     2	    0.1272	0.064	0.000	0	0	_Z12SetValueViewPiS_i
	0x204dbe4	    26	    0.1908	0.007	0.000	0	0	_Z23JudgeHitNpCharTriangleBP6NPCHARii
	0x2002f9c	     1	    0.0636	0.064	0.000	0	0	_Z13ClearTextLinev
	0x20030f8	     1	    0.0000	0.000	0.000	0	0	_Z12CheckNewLinev
	0x204f720	    20	    0.1908	0.010	0.000	0	0	_Z8PutText2iiPKcm9SurfaceID
	0x2043808	     1	    0.0000	0.000	0.000	0	0	_Z10SetNPCFlagl
total time 116.11, 193.52 ms per frame, 5.17 fps
done
